 ,X,Y,Ch,Slice
1,7.40598,98.55647,3,8
2,4.66110,99.64406,3,8
3,10.25443,99.33332,3,8
4,7.35419,102.33714,3,8
5,7.76851,97.05455,3,8
6,16.57282,96.95097,3,8
7,13.56899,99.02258,3,8
8,19.26590,98.60826,3,8
9,15.84776,101.50850,3,8
10,16.67640,96.22591,3,8
11,26.51651,96.53665,3,8
12,22.68404,97.46888,3,8
13,28.69169,98.50468,3,8
14,25.58428,101.09418,3,8
15,25.58428,95.60443,3,8
16,33.66353,96.64023,3,8
17,30.55613,98.29752,3,8
18,36.35662,98.29752,3,8
19,33.45637,100.99060,3,8
20,33.45637,95.50085,3,8
21,41.32846,95.50085,3,8
22,38.84254,97.67604,3,8
23,45.16092,97.46888,3,8
24,42.15710,99.74764,3,8
25,41.53562,94.25789,3,8
26,50.02919,94.77579,3,8
27,46.92179,96.43307,3,8
28,52.41153,96.12233,3,8
29,49.61487,98.81542,3,8
30,49.40771,93.32567,3,8
31,56.81369,93.58462,3,8
32,54.12060,95.55264,3,8
33,60.85331,94.93116,3,8
34,58.26381,98.03857,3,8
35,57.22801,92.03092,3,8
36,67.79318,93.68820,3,8
37,64.68577,94.51684,3,8
38,70.69342,94.41326,3,8
39,68.62182,97.10634,3,8
40,67.37886,92.03092,3,8
41,75.76884,92.75598,3,8
42,73.59366,94.30968,3,8
43,78.77267,94.62042,3,8
44,76.80465,97.10634,3,8
45,75.45810,91.40944,3,8
46,83.64093,92.34166,3,8
47,81.36217,94.20610,3,8
48,87.68056,93.99894,3,8
49,85.09105,96.48486,3,8
50,84.05525,90.89154,3,8
